Date,Open,High,Low,Close,Volume
01/03/2022,"119.38","121.95","115.82","120.38","16,789,350"
12/31/2021,"121.23","122.91","118.59","118.79","24,287,051"
12/30/2021,"112.63","124.30","112.30","122.99","45,437,129"
12/29/2021,"113.80","114.20","110.38","112.09","21,100,461"
12/28/2021,"116.26","116.42","114.47","114.80","17,052,100"
12/27/2021,"117.80","121.80","116.10","116.59","17,864,369"
12/23/2021,"116.80","119.59","115.39","118.66","17,563,250"
12/22/2021,"117.09","118.66","115.15","117.81","24,502,010"
12/21/2021,"116.85","122.98","116.60","122.98","18,036,279"
12/20/2021,"118.50","118.83","113.70","115.00","23,970,490"
12/17/2021,"119.49","122.87","117.81","122.10","19,781,131"
12/16/2021,"122.32","125.69","118.90","120.25","22,533,391"
12/15/2021,"122.63","123.59","117.77","122.47","24,893,461"
12/14/2021,"120.93","127.65","120.30","126.58","17,691,500"
12/13/2021,"123.00","123.25","119.75","122.24","15,820,490"
12/10/2021,"123.22","125.21","122.78","125.06","15,008,280"
12/09/2021,"124.63","127.76","123.21","123.91","23,499,301"
12/08/2021,"123.21","126.97","121.32","125.08","22,275,029"
12/07/2021,"129.30","129.45","123.46","125.54","38,542,809"
12/06/2021,"113.64","123.82","113.43","123.60","43,111,398"
12/03/2021,"118.00","118.19","108.70","111.96","70,266,469"
12/02/2021,"123.02","125.00","119.34","122.00","34,478,641"
12/01/2021,"128.37","129.16","121.90","122.49","29,340,500"
11/30/2021,"129.90","131.32","126.13","127.53","32,625,449"
11/29/2021,"134.25","134.55","130.55","131.61","18,648,850"
11/26/2021,"132.93","133.98","131.22","133.35","14,814,900"
11/24/2021,"133.10","136.76","131.22","136.52","20,010,439"
11/23/2021,"136.03","136.85","133.31","133.66","24,102,859"
11/22/2021,"139.90","140.70","135.21","136.62","26,390,391"
11/19/2021,"143.04","145.06","140.00","140.34","28,575,740"
11/18/2021,"146.91","148.50","141.89","143.60","61,571,449"
11/17/2021,"168.02","168.30","161.14","161.58","18,829,529"
11/16/2021,"168.60","169.94","166.67","168.43","11,887,510"
11/15/2021,"167.22","168.46","165.67","166.54","9,655,711"
11/12/2021,"165.17","167.80","163.40","166.81","13,741,780"
11/11/2021,"166.56","169.63","166.56","167.85","16,747,449"
11/10/2021,"163.68","166.48","161.82","163.97","17,216,801"
11/09/2021,"162.16","164.48","159.54","160.19","14,010,130"
11/08/2021,"161.77","162.16","159.48","162.16","16,223,100"
11/05/2021,"164.80","164.80","158.30","158.73","22,098,221"
11/04/2021,"169.28","169.94","164.50","164.79","16,669,250"
11/03/2021,"165.36","166.65","163.11","166.24","13,569,680"
11/02/2021,"167.10","167.10","162.76","162.90","19,072,891"
11/01/2021,"165.84","171.90","165.80","170.17","17,609,490"
10/29/2021,"167.07","168.56","162.72","164.94","17,155,369"
10/28/2021,"168.49","170.35","166.77","169.79","12,440,140"
10/27/2021,"167.53","172.45","167.34","169.23","11,801,790"
10/26/2021,"174.48","174.90","167.48","169.99","17,576,990"
10/25/2021,"177.86","178.28","173.83","176.17","13,119,710"
10/22/2021,"179.08","182.09","175.81","177.70","20,807,340"
10/21/2021,"177.00","179.78","176.71","177.42","16,444,000"
10/20/2021,"180.95","182.09","176.13","177.18","33,714,434"
10/19/2021,"170.60","177.44","170.45","177.00","33,538,852"
10/18/2021,"166.58","169.25","166.58","166.82","18,945,869"
10/15/2021,"166.99","169.80","165.44","168.00","20,762,750"
10/14/2021,"168.26","168.99","164.46","166.78","17,403,730"
10/13/2021,"164.38","168.27","163.60","167.40","18,595,000"
10/12/2021,"163.83","165.73","162.24","163.00","24,512,650"
10/11/2021,"169.61","169.80","163.95","163.95","42,193,578"
10/08/2021,"159.86","162.78","157.91","161.52","33,499,199"
10/07/2021,"151.05","158.29","150.75","156.00","46,035,859"
10/06/2021,"140.56","144.89","139.96","144.10","14,875,900"
10/05/2021,"139.38","143.83","139.19","143.14","14,032,090"
10/04/2021,"141.70","141.90","138.43","139.63","25,218,520"
10/01/2021,"147.09","148.45","143.34","144.20","20,210,949"
09/30/2021,"147.03","149.58","146.86","148.05","14,291,490"
09/29/2021,"150.46","152.10","147.48","147.58","17,361,311"
09/28/2021,"152.16","153.73","148.86","152.39","26,299,631"
