Date,Open,High,Low,Close,Volume
07/03/2023,"40.80","40.83","40.63","40.78","62,865"
06/30/2023,"40.57","40.83","40.53","40.74","120,041"
06/29/2023,"40.14","40.22","39.99","40.17","149,979"
06/28/2023,"39.90","40.30","39.87","40.03","165,207"
06/27/2023,"39.63","40.08","39.56","40.00","100,693"
06/26/2023,"40.03","40.11","39.44","39.47","50,654"
06/23/2023,"39.88","40.16","39.83","40.00","37,278"
06/22/2023,"39.64","40.20","39.64","40.20","20,140"
06/21/2023,"40.22","40.22","39.68","39.84","40,594"
06/20/2023,"40.04","40.33","39.94","40.25","36,829"
06/16/2023,"40.67","40.67","40.25","40.25","31,351"
06/15/2023,"39.89","40.60","39.75","40.49","59,775"
06/14/2023,"39.79","40.03","39.50","39.95","44,221"
06/13/2023,"39.79","39.88","39.58","39.74","42,909"
06/12/2023,"39.29","39.61","39.12","39.57","84,580"
06/09/2023,"39.11","39.34","38.89","39.04","30,806"
06/08/2023,"38.57","38.93","38.51","38.90","36,633"
06/07/2023,"39.12","39.25","38.42","38.47","34,185"
06/06/2023,"39.07","39.12","38.93","39.06","29,320"
06/05/2023,"39.07","39.34","38.96","39.08","44,728"
06/02/2023,"38.94","39.10","38.77","39.04","168,137"
06/01/2023,"38.21","38.76","38.05","38.63","28,019"
05/31/2023,"38.23","38.33","38.02","38.20","23,252"
05/30/2023,"38.56","38.67","38.21","38.36","27,730"
05/26/2023,"37.59","38.23","37.59","38.18","22,322"
05/25/2023,"37.29","37.56","37.21","37.48","18,973"
05/24/2023,"36.65","36.85","36.58","36.73","17,840"
05/23/2023,"37.26","37.32","36.88","36.88","38,918"
05/22/2023,"37.24","37.49","37.24","37.39","29,535"
05/19/2023,"37.49","37.51","37.26","37.33","11,507"
05/18/2023,"36.88","37.47","36.88","37.42","16,178"
05/17/2023,"36.59","36.93","36.50","36.90","14,488"
05/16/2023,"36.24","36.58","36.24","36.43","15,700"
05/15/2023,"36.38","36.40","36.19","36.37","11,344"
05/12/2023,"36.61","36.61","36.09","36.32","16,917"
05/11/2023,"36.36","36.51","36.28","36.45","19,155"
05/10/2023,"36.23","36.43","36.02","36.38","17,345"
05/09/2023,"36.12","36.15","36.01","36.03","14,448"
05/08/2023,"36.00","36.22","35.99","36.17","10,119"
05/05/2023,"35.77","36.16","35.74","36.07","9,388"
05/04/2023,"35.32","35.48","35.20","35.32","12,561"
05/03/2023,"35.81","35.95","35.45","35.49","25,784"
05/02/2023,"36.03","36.03","35.54","35.73","28,025"
05/01/2023,"36.02","36.20","35.97","36.06","17,075"
04/28/2023,"35.80","36.00","35.71","36.00","24,236"
04/27/2023,"35.37","35.89","35.30","35.85","16,553"
04/26/2023,"35.13","35.28","34.85","34.97","23,552"
04/25/2023,"35.32","35.32","34.85","34.85","28,650"
04/24/2023,"35.43","35.54","35.20","35.41","12,353"
04/21/2023,"35.37","35.52","35.30","35.43","64,277"
04/20/2023,"35.40","35.66","35.29","35.43","21,053"
04/19/2023,"35.48","35.73","35.46","35.65","17,224"
04/18/2023,"35.81","35.85","35.57","35.65","13,311"
04/17/2023,"35.50","35.62","35.38","35.58","17,487"
