Date,Open,High,Low,Close,Volume
07/31/2025,"22.35","23.34","22.30","22.45","13,749,910"
07/30/2025,"22.59","22.79","22.27","22.45","7,956,586"
07/29/2025,"23.01","23.04","22.53","22.55","6,078,838"
07/28/2025,"23.35","23.56","22.95","22.98","11,481,940"
07/25/2025,"23.51","23.60","23.25","23.33","7,090,634"
07/24/2025,"23.89","23.94","23.46","23.53","6,338,139"
07/23/2025,"24.46","24.75","23.81","23.96","8,305,149"
07/22/2025,"24.14","24.84","23.53","24.26","12,006,260"
07/21/2025,"23.28","24.43","23.05","24.20","17,718,369"
07/18/2025,"23.46","23.51","23.13","23.28","6,628,396"
07/17/2025,"23.54","23.72","23.38","23.40","7,307,167"
07/16/2025,"23.40","23.85","23.31","23.68","7,738,267"
07/15/2025,"23.66","23.68","23.17","23.22","7,321,570"
07/14/2025,"23.44","23.84","23.39","23.70","7,769,614"
07/11/2025,"23.13","24.05","23.13","23.33","11,454,090"
07/10/2025,"23.04","23.33","23.01","23.10","5,990,997"
07/09/2025,"22.88","23.60","22.53","23.19","14,641,420"
07/08/2025,"22.71","22.95","22.58","22.75","7,863,631"
07/07/2025,"23.48","23.48","22.53","22.62","12,873,530"
07/03/2025,"23.85","24.16","23.49","23.59","5,566,311"
07/02/2025,"23.90","24.10","23.75","23.95","6,428,597"
07/01/2025,"24.15","24.50","23.68","23.68","8,308,047"
06/30/2025,"23.64","24.40","23.54","24.39","10,439,310"
06/27/2025,"23.99","24.26","23.46","23.59","11,638,240"
06/26/2025,"23.40","24.06","23.30","23.88","8,777,965"
06/25/2025,"23.38","23.69","23.05","23.55","9,840,749"
06/24/2025,"23.03","23.33","22.85","23.29","11,660,170"
06/23/2025,"23.03","23.33","22.45","22.82","12,120,490"
06/20/2025,"23.52","23.73","23.13","23.46","19,994,180"
06/18/2025,"23.07","23.95","22.93","23.44","14,712,150"
06/17/2025,"23.00","23.78","22.79","22.99","24,797,600"
06/16/2025,"22.77","23.46","22.41","23.32","31,522,660"
06/13/2025,"22.18","23.15","22.10","22.14","59,849,887"
06/12/2025,"23.57","24.30","21.54","22.14","172,324,500"
06/11/2025,"29.02","29.41","28.42","28.55","18,039,170"
06/10/2025,"30.54","30.60","29.66","30.15","11,974,430"
06/09/2025,"29.92","30.49","29.45","30.34","5,836,161"
06/06/2025,"29.68","30.00","29.52","29.58","4,379,288"
06/05/2025,"29.81","30.61","29.23","29.45","6,356,776"
06/04/2025,"29.90","30.97","29.34","29.95","7,313,977"
06/03/2025,"30.81","31.05","30.02","30.10","6,086,532"
06/02/2025,"29.87","30.88","29.73","30.64","7,430,729"
05/30/2025,"29.20","30.49","29.19","29.80","10,227,800"
05/29/2025,"31.17","31.35","29.32","29.57","15,887,930"
05/28/2025,"35.79","35.81","30.73","31.21","45,300,352"
05/27/2025,"33.97","35.74","33.63","35.01","33,217,809"
05/23/2025,"30.60","33.21","30.55","33.03","30,477,600"
05/22/2025,"28.55","31.00","28.49","30.86","21,451,029"
05/21/2025,"28.40","29.19","28.02","28.05","8,762,022"
05/20/2025,"27.89","28.78","27.85","28.51","4,795,105"
05/19/2025,"27.75","28.20","27.69","27.89","4,223,534"
05/16/2025,"28.61","29.06","28.30","28.45","6,504,447"
05/15/2025,"28.58","28.64","27.42","28.63","9,364,353"
05/14/2025,"28.48","29.39","28.30","28.73","14,552,320"
05/13/2025,"28.05","28.86","28.05","28.39","10,365,260"
05/12/2025,"28.06","28.18","27.29","28.05","7,395,242"
05/09/2025,"26.78","27.73","26.76","27.54","7,795,212"
05/08/2025,"26.30","26.99","26.18","26.78","6,521,684"
05/07/2025,"26.19","26.34","25.88","26.01","4,386,935"
05/06/2025,"26.44","26.50","25.67","26.04","5,883,843"
05/05/2025,"27.33","27.41","26.35","26.60","7,132,359"
05/02/2025,"27.70","27.92","27.15","27.48","5,579,861"
05/01/2025,"27.98","28.35","27.42","27.43","5,693,525"
04/30/2025,"26.90","27.93","26.79","27.86","6,578,094"
04/29/2025,"27.45","27.94","27.26","27.26","5,497,551"
04/28/2025,"27.40","27.59","26.98","27.59","6,819,305"
04/25/2025,"27.13","27.80","27.13","27.46","5,853,359"
04/24/2025,"27.10","27.58","26.84","27.08","6,212,122"
04/23/2025,"28.20","28.25","26.96","27.12","8,862,655"
04/22/2025,"26.99","27.94","26.88","27.80","11,065,950"
04/21/2025,"26.71","27.04","25.79","26.77","7,689,967"
04/17/2025,"26.21","27.19","26.17","26.78","7,434,838"
04/16/2025,"26.45","26.66","25.72","26.25","6,292,788"
04/15/2025,"26.88","27.38","26.62","26.70","6,738,083"
04/14/2025,"26.66","27.18","25.68","26.98","10,628,360"
04/11/2025,"25.50","26.44","25.25","26.40","10,984,060"
04/10/2025,"25.00","26.20","24.41","25.02","11,545,360"
04/09/2025,"23.03","25.46","23.03","25.40","17,695,939"
04/08/2025,"24.82","24.93","22.97","23.39","12,062,270"
04/07/2025,"22.60","25.02","22.40","24.29","17,191,900"
04/04/2025,"21.42","23.85","20.78","23.49","20,608,189"
04/03/2025,"21.60","21.78","21.08","21.10","11,141,890"
04/02/2025,"22.49","23.02","22.25","22.69","10,965,120"
04/01/2025,"22.76","23.25","21.95","22.61","14,435,330"
03/31/2025,"21.40","22.63","20.73","22.32","16,147,930"
03/28/2025,"21.89","22.79","21.70","21.73","44,771,680"
03/27/2025,"25.87","26.28","21.16","22.09","96,733,086"
03/26/2025,"28.84","29.80","27.32","28.36","53,312,961"
03/25/2025,"25.70","25.77","24.99","25.40","10,106,780"
03/24/2025,"25.35","25.83","25.15","25.61","5,036,047"
03/21/2025,"23.75","24.81","23.65","24.75","6,893,871"
03/20/2025,"23.65","24.12","23.51","23.51","1,998,220"
03/19/2025,"23.40","23.99","23.26","23.71","3,032,256"
03/18/2025,"23.29","23.62","23.14","23.30","2,155,842"
03/17/2025,"23.24","23.73","22.97","23.50","2,899,087"
03/14/2025,"22.29","23.15","22.29","23.05","3,960,539"
03/13/2025,"22.05","22.25","21.56","21.95","3,829,828"
03/12/2025,"22.95","23.24","21.89","21.99","3,718,208"
03/11/2025,"22.35","22.98","22.08","22.61","4,226,922"
03/10/2025,"23.44","23.58","22.26","22.42","6,226,934"
03/07/2025,"24.00","24.35","23.52","24.00","3,463,954"
03/06/2025,"24.74","25.01","24.05","24.20","3,421,446"
03/05/2025,"24.33","25.16","24.11","25.07","3,282,452"
03/04/2025,"23.77","24.86","23.44","24.30","5,068,726"
03/03/2025,"25.26","25.48","24.18","24.40","4,290,981"
02/28/2025,"24.33","25.10","24.20","25.04","4,137,068"
02/27/2025,"25.00","25.37","24.14","24.48","4,589,982"
02/26/2025,"24.54","25.21","24.45","24.61","3,272,498"
02/25/2025,"24.93","25.29","23.83","24.42","6,551,451"
02/24/2025,"26.34","26.39","24.95","25.00","5,980,021"
02/21/2025,"27.25","27.58","26.16","26.42","6,130,903"
02/20/2025,"25.80","27.45","25.76","27.04","7,735,228"
02/19/2025,"26.80","26.96","25.92","26.00","4,382,120"
02/18/2025,"27.03","27.59","26.66","26.97","5,337,801"
02/14/2025,"28.90","28.97","26.90","27.00","12,142,610"
02/13/2025,"25.75","26.40","25.75","26.34","8,255,330"
02/12/2025,"26.12","26.40","25.60","25.99","3,999,243"
02/11/2025,"26.85","27.76","26.47","26.56","7,042,658"
02/10/2025,"25.50","27.27","25.30","27.12","9,694,662"
02/07/2025,"24.90","25.02","24.60","24.73","3,403,304"
