Date,Open,High,Low,Close,Volume
07/01/2022,"107.84","112.37","105.33","112.25","252,453"
06/30/2022,"113.70","114.19","107.30","108.03","424,986"
06/29/2022,"112.79","116.56","110.23","116.38","270,033"
06/28/2022,"114.73","115.88","110.77","113.56","349,059"
06/27/2022,"117.72","117.72","113.43","113.95","364,836"
06/24/2022,"109.88","116.28","109.14","115.62","727,609"
06/23/2022,"109.19","111.04","107.34","109.98","368,923"
06/22/2022,"108.89","111.42","106.99","108.29","484,583"
06/21/2022,"111.51","114.73","109.75","111.26","628,032"
06/17/2022,"108.05","114.34","106.84","108.15","599,559"
06/16/2022,"111.08","112.20","103.03","107.95","443,246"
06/15/2022,"114.83","118.39","110.77","115.26","655,601"
06/14/2022,"117.12","117.91","110.98","113.92","311,268"
06/13/2022,"129.54","129.54","114.78","116.93","605,978"
06/10/2022,"133.17","137.67","130.48","134.51","370,929"
06/09/2022,"144.53","144.59","133.45","138.03","611,340"
06/08/2022,"151.76","152.57","145.77","149.22","351,729"
06/07/2022,"145.97","153.21","145.82","151.90","223,324"
06/06/2022,"146.03","147.70","142.43","147.15","203,042"
06/03/2022,"140.71","143.95","138.51","143.46","226,673"
06/02/2022,"137.98","150.67","135.87","143.11","367,774"
06/01/2022,"140.85","140.85","130.86","137.98","388,624"
05/31/2022,"140.85","144.69","140.00","140.85","450,720"
05/27/2022,"137.22","140.67","134.65","140.61","405,088"
05/26/2022,"135.50","137.78","132.96","136.54","263,747"
05/25/2022,"130.10","136.02","128.11","135.24","240,076"
05/24/2022,"135.96","136.00","127.66","130.43","245,600"
05/23/2022,"133.39","139.67","129.79","138.85","250,831"
05/20/2022,"134.24","138.65","126.08","132.99","268,762"
05/19/2022,"124.52","134.59","124.52","133.01","316,382"
05/18/2022,"130.74","133.15","123.70","125.54","281,912"
05/17/2022,"136.02","137.00","132.31","133.07","228,764"
05/16/2022,"139.33","142.15","132.23","133.00","239,112"
05/13/2022,"129.77","141.69","128.93","139.04","549,792"
05/12/2022,"121.44","131.14","118.90","129.78","420,782"
05/11/2022,"132.65","133.84","120.63","122.60","354,854"
05/10/2022,"121.43","138.47","119.65","133.00","647,605"
05/09/2022,"122.28","124.62","113.26","120.34","666,197"
05/06/2022,"149.13","149.13","121.00","124.97","1,102,899"
05/05/2022,"128.15","128.15","114.85","118.12","450,099"
05/04/2022,"129.98","130.09","119.71","129.72","350,340"
05/03/2022,"128.01","131.28","124.68","128.68","225,272"
05/02/2022,"123.46","128.43","121.60","128.01","297,086"
04/29/2022,"124.74","132.00","122.41","123.37","497,097"
04/28/2022,"131.64","131.64","117.27","124.49","363,764"
04/27/2022,"128.22","132.30","127.60","129.92","261,894"
04/26/2022,"129.77","131.36","126.01","127.95","200,673"
04/25/2022,"125.89","132.68","125.89","131.80","182,804"
04/22/2022,"132.61","134.63","124.75","126.23","287,124"
04/21/2022,"145.04","149.30","133.37","133.93","252,187"
04/20/2022,"140.43","144.97","135.82","142.53","211,236"
04/19/2022,"136.30","143.79","136.30","139.49","285,862"
04/18/2022,"143.17","143.17","134.47","136.76","273,756"
04/14/2022,"148.55","148.55","143.10","144.51","166,750"
04/13/2022,"149.30","150.25","145.77","148.14","193,513"
04/12/2022,"149.92","153.65","145.69","147.92","216,347"
04/11/2022,"145.01","150.89","145.01","146.84","275,048"
04/08/2022,"151.42","154.88","146.60","151.91","294,608"
04/07/2022,"151.58","157.15","148.51","154.35","322,076"
04/06/2022,"156.14","156.93","146.23","152.98","578,913"
04/05/2022,"168.36","169.54","158.48","160.26","304,029"
04/04/2022,"164.61","169.43","162.05","168.01","468,666"
04/01/2022,"157.47","167.69","157.14","162.67","436,464"
03/31/2022,"151.19","161.80","151.04","157.47","626,085"
03/30/2022,"153.38","160.47","150.50","151.41","339,770"
03/29/2022,"150.53","159.75","149.06","154.24","392,182"
03/28/2022,"142.44","148.28","137.62","148.27","426,199"
03/25/2022,"145.34","146.28","140.53","143.82","222,381"
03/24/2022,"140.52","145.12","137.05","145.12","181,043"
03/23/2022,"142.15","147.51","137.23","139.75","234,057"
03/22/2022,"138.66","154.54","138.64","145.47","823,854"
03/21/2022,"138.06","141.65","135.40","139.53","447,111"
03/18/2022,"138.37","146.85","134.84","138.57","1,076,098"
03/17/2022,"130.41","143.91","128.43","138.67","629,955"
03/16/2022,"115.62","134.08","115.62","131.66","587,380"
03/15/2022,"107.65","115.05","107.03","113.87","325,661"
03/14/2022,"116.24","116.84","106.63","107.65","296,709"
03/11/2022,"126.83","126.83","117.32","118.62","215,831"
03/10/2022,"129.88","131.96","122.06","124.77","322,435"
03/09/2022,"127.81","134.93","127.81","133.32","224,717"
03/08/2022,"129.34","131.79","124.77","125.57","208,881"
03/07/2022,"132.80","136.76","129.98","130.63","320,696"
03/04/2022,"134.35","138.00","128.69","134.95","465,008"
03/03/2022,"136.32","137.53","133.75","135.60","242,080"
03/02/2022,"132.00","136.95","128.49","135.49","198,390"
03/01/2022,"128.67","134.49","128.60","131.53","415,679"
02/28/2022,"130.52","136.00","128.11","129.27","316,954"
02/25/2022,"125.53","131.29","124.17","131.18","304,342"
02/24/2022,"108.34","126.48","106.01","126.14","683,544"
02/23/2022,"111.56","113.21","106.72","107.61","381,051"
02/22/2022,"112.26","115.29","107.85","111.39","342,170"
02/18/2022,"117.49","118.43","112.88","112.92","369,898"
02/17/2022,"123.79","124.52","117.82","118.34","218,132"
02/16/2022,"127.38","127.54","123.02","125.19","206,921"
02/15/2022,"126.16","130.25","125.42","129.01","152,868"
02/14/2022,"122.47","128.02","121.10","123.57","194,749"
02/11/2022,"126.40","130.83","121.44","123.24","166,950"
02/10/2022,"125.98","131.85","123.51","125.86","238,452"
02/09/2022,"129.87","133.79","128.65","129.50","234,796"
02/08/2022,"123.91","129.51","123.25","128.50","205,707"
02/07/2022,"124.08","127.55","122.21","124.41","216,581"
02/04/2022,"121.29","127.07","119.00","124.35","192,621"
02/03/2022,"122.72","125.14","120.98","121.74","150,081"
