Date,Open,High,Low,Close,Volume
12/31/2024,"107.92","108.40","107.81","108.33","105,874"
12/30/2024,"108.71","109.00","107.30","107.95","545,894"
12/27/2024,"109.31","109.82","108.61","109.00","343,161"
12/24/2024,"108.94","109.07","108.84","109.02","296,356"
12/23/2024,"108.63","108.66","107.70","108.18","322,750"
12/20/2024,"107.00","108.67","105.96","108.67","526,434"
12/19/2024,"108.27","108.50","107.54","107.97","1,959,948"
12/18/2024,"110.74","110.94","110.50","110.70","600,099"
12/17/2024,"111.45","111.45","110.47","110.75","510,113"
12/16/2024,"110.91","111.50","110.81","111.09","306,281"
12/13/2024,"111.05","118.11","110.60","110.82","529,448"
12/12/2024,"111.60","111.60","111.23","111.43","412,020"
12/11/2024,"110.83","120.00","110.74","111.64","1,259,398"
12/10/2024,"111.24","111.37","111.09","111.11","283,550"
12/09/2024,"112.19","112.19","111.44","111.63","729,662"
12/06/2024,"111.69","112.08","111.62","111.95","555,953"
12/05/2024,"111.74","112.00","111.71","111.89","709,109"
12/04/2024,"111.27","111.60","111.21","111.60","382,234"
12/03/2024,"111.01","132.93","110.85","110.98","632,773"
12/02/2024,"110.38","120.75","110.32","110.78","1,212,161"
11/29/2024,"110.19","110.62","110.04","110.58","1,107,988"
11/28/2024,"110.03","110.21","109.99","110.17","143,270"
11/27/2024,"110.06","110.17","109.73","109.89","223,249"
11/26/2024,"109.38","109.97","109.34","109.79","1,098,429"
11/25/2024,"109.85","115.00","109.50","109.80","601,557"
11/22/2024,"109.13","109.34","108.37","109.08","502,579"
11/21/2024,"108.18","108.89","107.77","108.77","380,759"
11/20/2024,"108.65","108.74","107.40","107.58","338,662"
11/19/2024,"108.27","108.39","106.94","108.14","1,159,800"
11/18/2024,"107.75","108.21","107.39","108.21","1,734,015"
11/15/2024,"108.24","108.52","107.59","107.70","476,671"
11/14/2024,"109.25","109.59","109.01","109.35","137,532"
11/13/2024,"109.02","120.75","108.83","109.38","261,974"
11/12/2024,"109.86","109.99","109.34","109.36","531,798"
11/11/2024,"110.13","117.30","110.06","110.21","310,092"
11/08/2024,"109.93","109.97","109.39","109.76","407,438"
11/07/2024,"109.02","109.87","108.97","109.73","1,492,912"
