Date,Open,High,Low,Close,Volume
07/03/2017,"3,769","3,784","3,680","3,692","28,464,000"
06/30/2017,"3,750","3,798","3,738","3,768","34,045,000"
06/29/2017,"3,835","3,887","3,761","3,878","41,314,000"
06/28/2017,"3,891","3,914","3,771","3,787","40,559,000"
06/27/2017,"3,952","3,953","3,857","3,932","35,916,000"
06/26/2017,"3,895","3,944","3,882","3,928","36,280,000"
06/23/2017,"3,764","3,858","3,754","3,844","42,876,000"
06/22/2017,"3,720","3,773","3,711","3,740","22,694,000"
06/21/2017,"3,750","3,772","3,707","3,720","29,147,000"
06/20/2017,"3,760","3,772","3,727","3,745","28,883,000"
06/19/2017,"3,623","3,703","3,618","3,696","32,393,000"
06/16/2017,"3,600","3,668","3,585","3,604","44,381,000"
06/15/2017,"3,510","3,636","3,502","3,625","49,185,000"
06/14/2017,"3,499","3,526","3,476","3,476","31,215,000"
06/13/2017,"3,389","3,430","3,354","3,416","21,227,000"
06/12/2017,"3,412","3,439","3,325","3,402","33,632,000"
06/09/2017,"3,425","3,497","3,410","3,482","31,730,000"
06/08/2017,"3,449","3,476","3,394","3,398","26,296,000"
06/07/2017,"3,507","3,507","3,408","3,425","30,276,000"
06/06/2017,"3,494","3,533","3,388","3,463","44,382,000"
06/05/2017,"3,350","3,459","3,342","3,457","32,661,000"
06/02/2017,"3,322","3,381","3,267","3,354","36,545,000"
06/01/2017,"3,344","3,360","3,301","3,316","22,613,000"
05/31/2017,"3,390","3,420","3,335","3,365","29,260,000"
05/30/2017,"3,410","3,445","3,361","3,401","32,060,000"
05/29/2017,"3,325","3,461","3,290","3,395","61,955,999"
05/26/2017,"3,207","3,351","3,185","3,351","53,092,999"
05/25/2017,"3,199","3,230","3,162","3,177","27,044,000"
05/24/2017,"3,100","3,190","3,097","3,188","30,799,000"
05/23/2017,"3,055","3,089","3,046","3,088","17,429,000"
05/22/2017,"3,047","3,055","3,023","3,049","11,265,000"
05/19/2017,"3,065","3,070","3,019","3,030","14,719,000"
05/18/2017,"3,003","3,058","3,001","3,043","20,948,000"
05/17/2017,"2,995","3,068","2,991","3,049","26,317,000"
05/16/2017,"2,989","3,026","2,984","2,999","26,006,000"
05/15/2017,"2,917","3,014","2,897","2,974","27,150,000"
05/12/2017,"2,955","2,976","2,930","2,948","13,745,000"
05/11/2017,"2,950","2,971","2,939","2,955","18,796,000"
05/10/2017,"2,896","2,950","2,864","2,950","26,137,000"
05/09/2017,"2,870","2,898","2,865","2,874","14,173,000"
05/08/2017,"2,898","2,937","2,873","2,881","34,466,000"
05/02/2017,"2,830","2,846","2,814","2,836","14,686,000"
05/01/2017,"2,840","2,846","2,822","2,832","22,198,000"
04/28/2017,"2,700","2,826","2,692","2,805","56,411,999"
04/27/2017,"2,780","2,780","2,727","2,747","19,272,000"
04/26/2017,"2,802","2,802","2,751","2,762","20,083,000"
04/25/2017,"2,765","2,802","2,757","2,796","29,722,000"
04/24/2017,"2,730","2,752","2,715","2,737","19,840,000"
04/21/2017,"2,718","2,735","2,691","2,701","20,159,000"
04/20/2017,"2,731","2,756","2,680","2,682","26,201,000"
04/19/2017,"2,687","2,738","2,678","2,716","30,067,000"
04/18/2017,"2,672","2,690","2,642","2,672","21,596,000"
04/17/2017,"2,603","2,666","2,603","2,651","22,667,000"
04/14/2017,"2,528","2,624","2,526","2,576","25,087,000"
04/13/2017,"2,542","2,568","2,512","2,524","13,819,000"
04/12/2017,"2,530","2,568","2,530","2,561","12,971,000"
04/11/2017,"2,571","2,588","2,548","2,572","11,694,000"
04/10/2017,"2,563","2,603","2,544","2,578","16,032,000"
04/07/2017,"2,637","2,637","2,540","2,577","28,057,000"
04/06/2017,"2,609","2,653","2,601","2,637","22,016,000"
04/05/2017,"2,606","2,643","2,564","2,609","19,705,000"
04/04/2017,"2,682","2,698","2,589","2,606","24,921,000"
04/03/2017,"2,597","2,679","2,593","2,676","19,923,000"
03/31/2017,"2,597","2,639","2,564","2,584","21,813,000"
03/30/2017,"2,668","2,676","2,598","2,600","18,921,000"
03/29/2017,"2,650","2,684","2,633","2,667","17,000,000"
03/28/2017,"2,689","2,690","2,630","2,664","21,553,000"
03/27/2017,"2,692","2,717","2,674","2,689","17,503,000"
03/24/2017,"2,684","2,722","2,658","2,686","24,353,000"
03/23/2017,"2,770","2,807","2,652","2,683","61,248,999"
03/22/2017,"2,614","2,765","2,613","2,741","61,438,999"
03/21/2017,"2,625","2,656","2,589","2,627","42,106,000"
03/17/2017,"2,506","2,564","2,485","2,558","25,691,000"
03/16/2017,"2,495","2,520","2,494","2,516","12,475,000"
03/15/2017,"2,484","2,503","2,484","2,499","11,182,000"
03/14/2017,"2,500","2,507","2,483","2,489","10,586,000"
03/13/2017,"2,471","2,501","2,448","2,500","14,231,000"
03/10/2017,"2,466","2,504","2,462","2,474","22,282,000"
03/09/2017,"2,500","2,505","2,454","2,466","21,393,000"
03/08/2017,"2,521","2,532","2,471","2,483","38,078,000"
03/07/2017,"2,454","2,492","2,438","2,469","35,312,000"
03/06/2017,"2,398","2,452","2,387","2,424","34,599,000"
03/03/2017,"2,297","2,383","2,294","2,371","48,342,000"
03/02/2017,"2,345","2,345","2,284","2,288","20,381,000"
03/01/2017,"2,351","2,352","2,323","2,329","12,109,000"
02/28/2017,"2,380","2,383","2,349","2,350","10,896,000"
02/27/2017,"2,350","2,388","2,349","2,368","10,125,000"
02/24/2017,"2,322","2,380","2,313","2,372","17,905,000"
02/23/2017,"2,322","2,326","2,306","2,321","6,846,000"
02/22/2017,"2,317","2,331","2,301","2,331","8,682,000"
02/21/2017,"2,312","2,329","2,303","2,314","6,273,000"
02/20/2017,"2,316","2,321","2,290","2,310","8,080,000"
02/17/2017,"2,306","2,342","2,288","2,336","13,808,000"
02/16/2017,"2,277","2,315","2,275","2,312","13,049,000"
02/15/2017,"2,337","2,348","2,268","2,269","17,217,000"
02/14/2017,"2,350","2,358","2,326","2,326","10,102,000"
02/13/2017,"2,379","2,385","2,355","2,366","8,293,000"
02/10/2017,"2,365","2,373","2,336","2,365","13,191,000"
02/09/2017,"2,323","2,369","2,305","2,341","16,052,000"
02/08/2017,"2,333","2,343","2,291","2,326","14,047,000"
02/07/2017,"2,336","2,356","2,320","2,323","12,100,000"
02/06/2017,"2,400","2,416","2,357","2,374","15,932,000"
02/03/2017,"2,285","2,398","2,282","2,395","36,983,000"
02/02/2017,"2,282","2,297","2,245","2,252","16,245,000"
02/01/2017,"2,250","2,272","2,201","2,263","30,826,000"
01/31/2017,"2,323","2,351","2,310","2,312","13,502,000"
01/30/2017,"2,355","2,365","2,343","2,357","7,187,000"
01/27/2017,"2,363","2,363","2,341","2,349","8,360,000"
01/26/2017,"2,360","2,371","2,346","2,357","14,533,000"
01/25/2017,"2,350","2,366","2,328","2,360","11,931,000"
01/24/2017,"2,344","2,357","2,325","2,327","11,068,000"
01/23/2017,"2,352","2,370","2,328","2,351","12,083,000"
01/20/2017,"2,382","2,413","2,354","2,363","20,924,000"
01/19/2017,"2,329","2,410","2,305","2,380","36,079,000"
01/18/2017,"2,352","2,371","2,316","2,347","28,302,000"
01/17/2017,"2,295","2,380","2,295","2,359","32,123,000"
01/16/2017,"2,330","2,345","2,291","2,320","36,756,000"
01/13/2017,"2,490","2,509","2,362","2,375","75,891,999"
01/12/2017,"2,530","2,541","2,470","2,520","25,818,000"
01/11/2017,"2,465","2,535","2,458","2,515","32,244,000"
01/10/2017,"2,449","2,453","2,419","2,437","17,259,000"
01/06/2017,"2,400","2,422","2,392","2,405","14,435,000"
01/05/2017,"2,456","2,484","2,388","2,409","25,462,000"
01/04/2017,"2,454","2,455","2,433","2,448","14,376,000"
12/30/2016,"2,437","2,464","2,432","2,454","11,996,000"
12/29/2016,"2,420","2,442","2,412","2,441","10,953,000"
12/28/2016,"2,442","2,459","2,423","2,435","13,122,000"
12/27/2016,"2,471","2,482","2,406","2,456","23,157,000"
12/26/2016,"2,386","2,474","2,380","2,456","23,638,000"
12/22/2016,"2,411","2,443","2,351","2,360","33,606,000"
12/21/2016,"2,500","2,511","2,446","2,453","22,149,000"
12/20/2016,"2,452","2,514","2,440","2,482","40,576,000"
12/19/2016,"2,500","2,543","2,434","2,454","56,296,999"
12/16/2016,"2,730","2,731","2,603","2,641","53,563,999"
12/15/2016,"2,820","2,832","2,732","2,758","30,907,000"
12/14/2016,"2,828","2,832","2,788","2,798","17,860,000"
12/13/2016,"2,917","2,923","2,812","2,828","30,445,000"
12/12/2016,"2,990","3,018","2,890","2,940","36,809,000"
12/09/2016,"2,840","2,942","2,837","2,926","41,857,000"
12/08/2016,"2,823","2,825","2,793","2,823","14,631,000"
12/07/2016,"2,800","2,836","2,778","2,798","18,302,000"
12/06/2016,"2,740","2,793","2,719","2,787","16,993,000"
12/05/2016,"2,685","2,732","2,665","2,707","13,471,000"
12/02/2016,"2,777","2,791","2,686","2,705","23,404,000"
12/01/2016,"2,800","2,813","2,786","2,794","16,011,000"
11/30/2016,"2,825","2,825","2,768","2,778","17,992,000"
11/29/2016,"2,809","2,809","2,775","2,799","11,643,000"
11/28/2016,"2,781","2,812","2,769","2,797","16,685,000"
11/25/2016,"2,775","2,795","2,757","2,787","16,667,000"
11/24/2016,"2,825","2,844","2,756","2,764","27,118,000"
11/22/2016,"2,747","2,788","2,743","2,786","22,301,000"
11/21/2016,"2,711","2,765","2,690","2,765","29,208,000"
11/18/2016,"2,660","2,684","2,619","2,682","26,443,000"
11/17/2016,"2,567","2,605","2,561","2,605","18,633,000"
11/16/2016,"2,546","2,622","2,537","2,555","32,172,000"
11/15/2016,"2,471","2,489","2,453","2,486","11,431,000"
11/14/2016,"2,410","2,492","2,392","2,484","16,608,000"
11/11/2016,"2,456","2,457","2,401","2,410","13,366,000"
11/10/2016,"2,406","2,455","2,390","2,441","24,270,000"
11/09/2016,"2,459","2,460","2,220","2,292","42,339,000"
11/08/2016,"2,470","2,485","2,439","2,442","10,314,000"
11/07/2016,"2,462","2,468","2,424","2,454","12,319,000"
11/04/2016,"2,500","2,507","2,436","2,440","21,546,000"
11/02/2016,"2,530","2,559","2,495","2,540","19,732,000"
11/01/2016,"2,543","2,559","2,521","2,545","13,507,000"
10/31/2016,"2,560","2,590","2,535","2,544","21,720,000"
10/28/2016,"2,510","2,563","2,501","2,559","32,180,000"
10/27/2016,"2,352","2,490","2,352","2,489","58,394,999"
10/26/2016,"2,454","2,500","2,441","2,452","23,514,000"
10/25/2016,"2,390","2,473","2,387","2,469","32,113,000"
10/24/2016,"2,490","2,490","2,394","2,397","43,824,000"
10/21/2016,"2,600","2,619","2,503","2,519","60,955,999"
10/20/2016,"2,594","2,727","2,581","2,695","52,013,999"
10/19/2016,"2,611","2,632","2,598","2,608","10,766,000"
10/18/2016,"2,583","2,632","2,564","2,622","16,602,000"
10/17/2016,"2,647","2,648","2,567","2,594","21,953,000"
10/14/2016,"2,574","2,622","2,562","2,617","16,394,000"
10/13/2016,"2,602","2,654","2,593","2,608","22,461,000"
10/12/2016,"2,612","2,634","2,585","2,587","14,882,000"
10/11/2016,"2,650","2,662","2,628","2,629","15,812,000"
10/07/2016,"2,638","2,675","2,629","2,669","17,563,000"
10/06/2016,"2,680","2,694","2,636","2,637","19,068,000"
10/05/2016,"2,625","2,679","2,609","2,678","24,095,000"
10/04/2016,"2,656","2,657","2,593","2,617","21,148,000"
10/03/2016,"2,680","2,689","2,629","2,645","20,227,000"
09/30/2016,"2,692","2,724","2,661","2,661","21,955,000"
09/29/2016,"2,748","2,748","2,694","2,714","21,384,000"
09/28/2016,"2,690","2,746","2,683","2,713","25,253,000"
09/27/2016,"2,642","2,714","2,640","2,704","30,115,000"
09/26/2016,"2,695","2,703","2,663","2,668","18,109,000"
09/23/2016,"2,685","2,727","2,647","2,711","34,970,000"
09/21/2016,"2,730","2,745","2,670","2,700","44,626,000"
09/20/2016,"2,665","2,778","2,656","2,732","47,493,000"
09/16/2016,"2,661","2,732","2,631","2,707","51,747,999"
09/15/2016,"2,591","2,697","2,582","2,693","58,065,999"
09/14/2016,"2,560","2,634","2,538","2,576","52,135,999"
09/13/2016,"2,691","2,708","2,559","2,563","60,176,999"
09/12/2016,"2,730","2,757","2,645","2,669","47,167,000"
09/09/2016,"2,755","2,794","2,727","2,763","62,683,999"
